INDEX	CODE	SHORT OPENING	OPENING	ORG		
124	D00	Blackmar-Diemer		Blackmar-Diemer	Euwe defense	1. d4 d5 2. Nc3 Nf6 3. e4 dxe4 4. f3 exf3 5. Nxf3 e6
125	D00	Blackmar-Diemer		Blackmar-Diemer	Lemberg counter-gambit	1. d4 d5 2. Nc3 Nf6 3. e4 e5
126	E10	Blumenfeld		Blumenfeld counter-gambit		1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5
127	E10	Blumenfeld		Blumenfeld counter-gambit accepted		1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. dxe6 fxe6 6. cxb5 d5
128	E10	Blumenfeld		Blumenfeld counter-gambit, Dus-Chotimursky Variation 		1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. Bg5
129	E10	Blumenfeld		Blumenfeld counter-gambit, Spielmann Variation 		1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. Bg5 exd5 6. cxd5 h6
130	C27	Boden-Kieseritsky		Boden-Kieseritsky gambit		1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4 4. Nf3
131	C27	Boden-Kieseritsky		Boden-Kieseritsky gambit	Lichtenhein defense	1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4 4. Nf3 d5
132	E11	Bogo-Indian		Bogo-Indian defense		1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+
133	E11	Bogo-Indian		Bogo-Indian defense, Gruenfeld Variation 		1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Nbd2
134	E11	Bogo-Indian		Bogo-Indian defense, Nimzovich Variation 		1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Qe7
135	E11	Bogo-Indian		Bogo-Indian defense, Monticelli trap		1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Bxd2+ 5. Qxd2 b6 6. g3 Bb7 7. Bg2 O-O 8. Nc3 Ne4 9. Qc2 Nxc3 10. Ng5
136	A51	Budapest		Budapest defense declined		1. d4 Nf6 2. c4 e5
137	A51	Budapest		Budapest	Fajarowicz Variation 	1. d4 Nf6 2. c4 e5 3. dxe5 Ne4
138	A51	Budapest		Budapest	Fajarowicz, Steiner Variation 	1. d4 Nf6 2. c4 e5 3. dxe5 Ne4 4. Qc2
139	A52	Budapest		Budapest defense		1. d4 Nf6 2. c4 e5 3. dxe5 Ng4
140	A52	Budapest		Budapest	Adler Variation 	1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. Nf3
141	A52	Budapest		Budapest	Rubinstein Variation 	1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. Bf4
142	A52	Budapest		Budapest	Alekhine Variation 	1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. e4
143	A52	Budapest		Budapest	Alekhine, Abonyi Variation 	1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. e4 Nxe5 5. f4 Nec6
144	A52	Budapest		Budapest	Alekhine Variation , Balogh gambit	1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. e4 d6
145	A45	Canard		Canard Opening		1. d4 Nf6 2. f4
146	B10	Caro-Kann		Caro-Kann defense		1. e4 c6
147	B10	Caro-Kann		Caro-Kann	Hillbilly attack	1. e4 c6 2. Bc4
148	B10	Caro-Kann		Caro-Kann	Anti-Caro-Kann defense	1. e4 c6 2. c4
149	B10	Caro-Kann		Caro-Kann	Anti-anti-Caro-Kann defense	1. e4 c6 2. c4 d5
150	B10	Caro-Kann		Caro-Kann	Closed (Breyer) Variation 	1. e4 c6 2. d3
151	B10	Caro-Kann		Caro-Kann defense		1. e4 c6 2. Nc3
152	B10	Caro-Kann		Caro-Kann	GOldman (Spielmann) Variation 	1. e4 c6 2. Nc3 d5 3. Qf3
153	B10	Caro-Kann		Caro-Kann	Two knights Variation 	1. e4 c6 2. Nc3 d5 3. Nf3
