A33	English	English	Symmetrical Variation 	1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 Nc6
A33	English	English	Symmetrical, Geller Variation 	1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 Nc6 6. g3 Qb6
A34	English	English	Symmetrical Variation 	1. c4 c5 2. Nc3
A34	English	English	Symmetrical, Three knights system	1. c4 c5 2. Nc3 Nf6 3. Nf3 d5 4. cxd5 Nxd5
A34	English	English	Symmetrical Variation 	1. c4 c5 2. Nc3 Nf6 3. g3
A34	English	English	Symmetrical, Rubinstein system	1. c4 c5 2. Nc3 Nf6 3. g3 d5 4. cxd5 Nxd5 5. Bg2 Nc7
A35	English	English	Symmetrical Variation 	1. c4 c5 2. Nc3 Nc6
A35	English	English	Symmetrical, Four knights system	1. c4 c5 2. Nc3 Nc6 3. Nf3 Nf6
A36	English	English	Symmetrical Variation 	1. c4 c5 2. Nc3 Nc6 3. g3
A36	English	English	ultra-Symmetrical Variation 	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7
A36	English	English	Symmetrical, Botvinnik system Reversed	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 e5
A36	English	English	Symmetrical, Botvinnik system	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e4
A37	English	English	Symmetrical Variation 	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3
A37	English	English	Symmetrical, Botvinnik system Reversed	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5
A38	English	English	Symmetrical Variation 	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6
A38	English	English	Symmetrical, Main line with d3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. d3
A38	English	English	Symmetrical, Main line with b3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. b3
A39	English	English	Symmetrical, Main line with d4	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. d4
A40	Queen's pawn	Queen's pawn		1. d4
A40	Queen's pawn	Queen's pawn	Lundin (Kevitz-Mikenas) defense	1. d4 Nc6
A40	Queen's pawn	Queen's pawn	Charlick (Englund) gambit	1. d4 e5
A40	Queen's pawn	Queen's pawn	Englund gambit	1. d4 e5 2. dxe5 Nc6 3. Nf3 Qe7 4. Qd5 f6 5. exf6 Nxf6
A40	Queen's pawn	Queen's pawn	English defense	1. d4 b6
A40	Polish defense	Polish defense		1. d4 b5
A40	Queen's pawn	Queen's pawn		1. d4 e6
A40	Queen's pawn	Queen's pawn	Keres defense	1. d4 e6 2. c4 b6
A40	Queen's pawn	Queen's pawn	Franco-Indian (Keres) defense	1. d4 e6 2. c4 Bb4+
A40	Modern defense	Modern defense		1. d4 g6
A40	Beefeater	Beefeater defense		1. d4 g6 2. c4 Bg7 3. Nc3 c5 4. d5 Bxc3+ 5. bxc3 f5
A41	Queen's Pawn	Queen's Pawn		1. d4 d6
A41	Old Indian	Old Indian	Tartakower (Wade) Variation 	1. d4 d6 2. Nf3 Bg4
A41	Old Indian	Old Indian defense		1. d4 d6 2. c4
A41	Modern	Modern defense		1. d4 d6 2. c4 g6 3. Nc3 Bg7
A41	Robatsch	Robatsch defense	Rossolimo Variation 	1. e4 g6 2. d4 Bg7 3. Nf3 d6 4. c4 Bg4
A42	Modern	Modern defense	Averbakh system	1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4
A42	Pterodactyl	Pterodactyl defense		1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4 c5 5. Nf3 Qa5
A42	Modern	Modern defense	Averbakh system, Randspringer Variation 	1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4 f5
A42	Modern	Modern defense	Averbakh system, Kotov Variation 	1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4 Nc6
A43	Old Benoni	Old Benoni defense		1. d4 c5
A43	Old Benoni	Old Benoni	Franco-Benoni defense	1. d4 c5 2. d5 e6 3. e4
A43	Old Benoni	Old Benoni	Mujannah formation	1. d4 c5 2. d5 f5
A43	Old Benoni	Old Benoni defense		1. d4 c5 2. d5 Nf6
A43	Woozle	Woozle defense		1. d4 c5 2. d5 Nf6 3. Nc3 Qa5
A43	Old Benoni	Old Benoni defense		1. d4 c5 2. d5 Nf6 3. Nf3
